"n","k","usrtime","systime","elapstime","wrap"
"1000","5","0.0429999999998927","0.0429999999998927","0.0860000000002401","CS"
"1000","5","0.04099999999994","0.0460000000000491","0.0869999999999891","CS"
"1000","5","0.0459999999998217","0.0399999999999636","0.0869999999999891","CS"
"1000","5","0.0440000000000964","0.0419999999999163","0.0869999999999891","CS"
"5000","10","10.9119999999998","4.6579999999999","15.5720000000001","R"
"5000","10","9.44200000000001","4.66599999999994","14.1150000000002","R"
"5000","10","9.42599999999993","4.64799999999991","14.076","R"
"5000","10","9.45299999999997","4.64599999999996","14.1089999999999","R"
"5000","10","9.923","4.61999999999989","14.5440000000003","R"
"5000","10","5.98399999999992","4.58100000000013","10.5709999999999","C"
"5000","10","6.03199999999993","4.54500000000007","10.5830000000001","C"
"5000","10","5.94799999999987","4.60599999999977","10.5629999999996","C"
"5000","10","5.9340000000002","4.62699999999995","10.569","C"
"5000","10","5.98800000000006","4.57900000000018","10.5700000000002","C"
"5000","10","2.34000000000015","2.19700000000012","4.53899999999976","CS"
"5000","10","2.40300000000002","2.14499999999998","4.54599999999982","CS"
"5000","10","2.28800000000001","2.26600000000008","4.55600000000004","CS"
"5000","10","2.29000000000019","2.26600000000008","4.55999999999995","CS"
"5000","10","2.35200000000009","2.19299999999976","4.54600000000028","CS"
"5000","11","21.0359999999998","9.66000000000031","30.7039999999997","R"
"5000","11","22.1369999999999","9.72899999999981","31.877","R"
"5000","11","20.6180000000002","9.73599999999988","30.3690000000001","R"
"5000","11","21.2939999999999","9.65900000000011","30.962","R"
"5000","11","21.5889999999999","9.63599999999997","31.23","R"
"5000","11","12.7240000000002","9.50300000000016","22.2350000000001","C"
"5000","11","12.6079999999999","9.6220000000003","22.2350000000001","C"
"5000","11","12.7050000000002","9.54500000000007","22.2670000000003","C"
"5000","11","12.5730000000001","9.67799999999988","22.2650000000003","C"
"5000","11","12.8230000000001","9.42299999999977","22.2579999999998","C"
"5000","11","4.95700000000011","4.75","9.70899999999983","CS"
"5000","11","4.86500000000001","4.82600000000002","9.69700000000012","CS"
"5000","11","4.7940000000001","4.904","9.70800000000008","CS"
"5000","11","4.94000000000005","4.78600000000006","9.73599999999988","CS"
"5000","11","4.93399999999997","4.78400000000011","9.72400000000016","CS"
"5000","12","48.001","19.9989999999998","68.0219999999999","R"
"5000","12","45.5989999999999","20.038","65.6530000000002","R"
"5000","12","48.1559999999999","19.9940000000001","68.1729999999998","R"
"5000","12","47.0259999999998","20.203","67.2389999999996","R"
"5000","12","41.7910000000002","20.0250000000001","61.8329999999996","R"
"5000","12","27.0799999999999","19.7339999999999","46.8400000000001","C"
"5000","12","27.2670000000003","19.625","46.9160000000002","C"
"5000","12","27.0389999999998","19.6610000000001","46.7200000000003","C"
"5000","12","27.0149999999999","19.6800000000003","46.7290000000003","C"
"5000","12","27.1779999999999","19.616","46.8149999999996","C"
"5000","12","10.462","10.2260000000001","20.6909999999998","CS"
"5000","12","10.4079999999999","10.2620000000002","20.6769999999997","CS"
"5000","12","10.462","10.2160000000003","20.6880000000001","CS"
"5000","12","10.4699999999998","10.201","20.6779999999999","CS"
"5000","12","10.3489999999997","10.2889999999998","20.6530000000002","CS"
"5000","13","94.2239999999997","41.4090000000001","135.668","R"
"5000","13","96.4719999999998","41.3559999999998","137.88","R"
"5000","13","93.9850000000001","41.5740000000001","135.6","R"
"5000","13","95.3989999999999","41.4369999999999","136.903","R"
"5000","13","94.877","41.27","136.185","R"
"5000","13","58.6379999999999","40.712","99.4110000000001","C"
"5000","13","58.643","40.587","99.2939999999999","C"
"5000","13","58.3450000000003","40.9350000000004","99.3279999999995","C"
"5000","13","58.7080000000001","40.8629999999998","99.6400000000003","C"
"5000","13","58.4450000000002","40.877","99.3870000000006","C"
"5000","13","22.4230000000002","21.5070000000001","43.96","CS"
"5000","13","22.0529999999999","21.9569999999999","44.0380000000005","CS"
